[('local', 'False'), ('suffix', '2Dnu1en4'), ('MPIPROC', '32'), ('walltime', '24:00:00'), ('wall_time_hr', '7.0'), ('nodes', '7'), ('ncpus', '40'), ('model', 'sky_ele'), ('is2D', 'True'), ('restart', 'False'), ('stop_sim_time', '200.'), ('solveEVP', 'False'), ('ky', '1'), ('kz', '1'), ('init_timestep', '1e-4'), ('timestepper', 'd3.RK222'), ('Ny', '16'), ('Nz', '384'), ('Nx', '384'), ('Ly', '1.0e0'), ('Lz', '1.0e0'), ('Lx', '1.0e0'), ('R', '1.1547005383792515'), ('q', '0.75'), ('nu', '4e-6'), ('Pm', '1e0'), ('noise_coeff', '1e-2'), ('set_b', 'False'), ('byg', '0.0'), ('bzg', '1.0e0'), ('bxg', '0.0'), ('Ayg', '1e0*np.cos(np.pi*x/Lx)'), ('Azg', '0.0'), ('Axg', '0.0'), ('tau', '0.0'), ('B', '0.0'), ('isNoSlip', 'True'), ('slicepoint_dt', '0.01'), ('checkpoint_dt', '10.0'), ('scalar_dt', '0.01')]
Iteration=1, Time=0.0001, dt=0.0001, x_l2=2.011543924094174, u_l2=0.011537807521713631, b_l2=2.000006116572459
Iteration=101, Time=0.010099999999999994, dt=0.0001, x_l2=2.0064083633134477, u_l2=0.006387363559271377, b_l2=2.0000209997541765
Iteration=201, Time=0.020099999999999934, dt=0.0001, x_l2=2.006295417796224, u_l2=0.006274292056814657, b_l2=2.000021125739409
Iteration=301, Time=0.030099999999999873, dt=0.0001, x_l2=2.0061812415477283, u_l2=0.006160678244052498, b_l2=2.000020563303675
Iteration=401, Time=0.04010000000000012, dt=0.0001, x_l2=2.0061174709193508, u_l2=0.006098046872865043, b_l2=2.0000194240464864
Iteration=501, Time=0.05010000000000041, dt=0.0001, x_l2=2.0060870878927974, u_l2=0.006068957057032474, b_l2=2.000018130835765
Iteration=601, Time=0.060100000000000695, dt=0.0001, x_l2=2.0060681109518304, u_l2=0.006050976806540197, b_l2=2.0000171341452893
Iteration=701, Time=0.07010000000000098, dt=0.0001, x_l2=2.006056852393592, u_l2=0.006040408196673875, b_l2=2.00001644419692
Iteration=801, Time=0.08010000000000127, dt=0.0001, x_l2=2.006063354702806, u_l2=0.006048284765610332, b_l2=2.0000150699371964
Iteration=901, Time=0.09010000000000155, dt=0.0001, x_l2=2.00612044635401, u_l2=0.006106648791535063, b_l2=2.000013797562476
Iteration=1001, Time=0.10010000000000184, dt=0.0001, x_l2=2.00620300909179, u_l2=0.006190331909787067, b_l2=2.000012677182003
Iteration=1101, Time=0.11010000000000213, dt=0.0001, x_l2=2.0063127385569026, u_l2=0.006301087323872882, b_l2=2.000011651233029
Iteration=1201, Time=0.12010000000000241, dt=0.0001, x_l2=2.0064786279433173, u_l2=0.0064677985843850224, b_l2=2.000010829358932
Iteration=1301, Time=0.130100000000002, dt=0.0001, x_l2=2.0066822440050873, u_l2=0.006672102580189236, b_l2=2.000010141424898
Iteration=1401, Time=0.1401000000000009, dt=0.0001, x_l2=2.0069272841978325, u_l2=0.006917238287099871, b_l2=2.0000100459107335
Iteration=1501, Time=0.1500999999999998, dt=0.0001, x_l2=2.0072462568331373, u_l2=0.007235982661865832, b_l2=2.000010274171271
Iteration=1601, Time=0.1600999999999987, dt=0.0001, x_l2=2.007563857013592, u_l2=0.007552050941810395, b_l2=2.000011806071781
Iteration=1701, Time=0.1700999999999976, dt=0.0001, x_l2=2.008020802916535, u_l2=0.008007157355470881, b_l2=2.000013645561064
Iteration=1801, Time=0.18009999999999649, dt=0.0001, x_l2=2.0085098495611966, u_l2=0.00849321078500253, b_l2=2.0000166387761946
Iteration=1901, Time=0.19009999999999538, dt=0.0001, x_l2=2.0091300861142978, u_l2=0.009109224500188497, b_l2=2.0000208616141104
Iteration=2001, Time=0.20009999999999428, dt=0.0001, x_l2=2.00979837847908, u_l2=0.009771080483100937, b_l2=2.00002729799598
Iteration=2101, Time=0.21009999999999318, dt=0.0001, x_l2=2.010561164987778, u_l2=0.010524257812538993, b_l2=2.000036907175239
Iteration=2201, Time=0.22009999999999208, dt=0.0001, x_l2=2.011571261438684, u_l2=0.011523220352011039, b_l2=2.000048041086673
Iteration=2301, Time=0.23009999999999098, dt=0.0001, x_l2=2.012819782086747, u_l2=0.012757260130970387, b_l2=2.000062521955776
Iteration=2401, Time=0.24009999999998988, dt=0.0001, x_l2=2.014194189455898, u_l2=0.01411002835457046, b_l2=2.000084161101329
Iteration=2501, Time=0.2500999999999888, dt=0.0001, x_l2=2.0158147490727925, u_l2=0.015700422547218665, b_l2=2.0001143265255736
Iteration=2601, Time=0.2600999999999877, dt=0.0001, x_l2=2.017475025417136, u_l2=0.01731483642797859, b_l2=2.0001601889891583
Iteration=2701, Time=0.2700999999999866, dt=0.0001, x_l2=2.019478062771231, u_l2=0.01925306748605074, b_l2=2.000224995285179
Iteration=2801, Time=0.28009999999998547, dt=0.0001, x_l2=2.0217003589898854, u_l2=0.02138450003827591, b_l2=2.0003158589516095
Iteration=2901, Time=0.29009999999998437, dt=0.0001, x_l2=2.0252520857791363, u_l2=0.024846149919777637, b_l2=2.0004059358593587
Iteration=3001, Time=0.30009999999998327, dt=0.0001, x_l2=2.028787220091317, u_l2=0.028266755941969417, b_l2=2.0005204641493477
Iteration=3101, Time=0.31009999999998217, dt=0.0001, x_l2=2.0331330791807485, u_l2=0.03240932116068242, b_l2=2.0007237580200656
Iteration=3201, Time=0.32009999999998107, dt=0.0001, x_l2=2.037525727367668, u_l2=0.03650854398665548, b_l2=2.0010171833810144
Iteration=3301, Time=0.33009999999997997, dt=0.0001, x_l2=2.0435631893775787, u_l2=0.042145696020640444, b_l2=2.0014174933569384
Iteration=3401, Time=0.34009999999997886, dt=0.0001, x_l2=2.0505839884755406, u_l2=0.04864829161757264, b_l2=2.0019356968579682
Iteration=3501, Time=0.35009999999997776, dt=0.0001, x_l2=2.0578096708393034, u_l2=0.0551199289473956, b_l2=2.0026897418919076
Iteration=3601, Time=0.36009999999997666, dt=0.0001, x_l2=2.0688568216873016, u_l2=0.06527966860950249, b_l2=2.0035771530777997
Iteration=3701, Time=0.37009999999997556, dt=0.0001, x_l2=2.0809940596800023, u_l2=0.07609285379038835, b_l2=2.0049012058896136
Iteration=3801, Time=0.38009999999997446, dt=0.0001, x_l2=2.093690991748898, u_l2=0.08672970676192802, b_l2=2.0069612849869705
Iteration=3901, Time=0.39009999999997336, dt=0.0001, x_l2=2.110307750099505, u_l2=0.10057983911718435, b_l2=2.009727910982321
Iteration=4001, Time=0.40009999999997226, dt=0.0001, x_l2=2.134201075134017, u_l2=0.1211266433529592, b_l2=2.013074431781058
Iteration=4101, Time=0.41009999999997115, dt=0.0001, x_l2=2.1636415234690496, u_l2=0.14488516948829908, b_l2=2.01875635398075
Iteration=4201, Time=0.42009999999997005, dt=0.0001, x_l2=nan, u_l2=nan, b_l2=nan
Iteration=4301, Time=0.43009999999996895, dt=0.0001, x_l2=nan, u_l2=nan, b_l2=nan
Iteration=4401, Time=0.44009999999996785, dt=0.0001, x_l2=nan, u_l2=nan, b_l2=nan
