[('suff', '"default"'), ('mpiproc', '1'), ('restart', 'False'), ('dt', '2e-4'), ('stop_sim_time', '100.'), ('wall_time_hr', '7.0'), ('ny', '2'), ('nz', '16'), ('nx', '16'), ('ly', '5.0e-1'), ('lz', '1.0e1'), ('lx', '1.0e1'), ('r', '1.1547005383792515'), ('q', '0.75'), ('nu', '1e-2'), ('pm', '1e0'), ('tau', '0.0'), ('b', '0.0'), ('isnoslip', 'True')]
Iteration=1, Time=0.0002, dt=0.0002, x_l2=100.21187115194869, u_l2=0.007029459005419302, b_l2=100.20484133402753
Iteration=101, Time=0.22686015624999994, dt=0.0115330078125, x_l2=100.1879928194527, u_l2=0.004797246439623812, b_l2=100.1831682177515
Iteration=201, Time=2.8790014450073245, dt=0.001824557876586914, x_l2=197.9858914080762, u_l2=30.63924979443025, b_l2=167.12387543464845
Iteration=301, Time=3.0302368597970966, dt=0.0010280884433678174, x_l2=191.79997562301256, u_l2=40.70796244217495, b_l2=150.86763986059023
Iteration=401, Time=3.1915889185486948, dt=0.0012405977566652458, x_l2=171.30571455939642, u_l2=31.079225096779002, b_l2=140.05121725888847
Iteration=501, Time=3.3736573234088065, dt=0.0014611959160664885, x_l2=145.38542075256, u_l2=13.646229069805926, b_l2=131.7328522460772
Iteration=601, Time=3.62376160919249, dt=0.005463712526696352, x_l2=165.532926543911, u_l2=61.794841873278045, b_l2=103.50902264482127
Iteration=701, Time=4.00543898279458, dt=0.003241848085591435, x_l2=115.39852746239382, u_l2=3.8899712984735046, b_l2=111.45809724799254
Iteration=801, Time=4.5263805194474855, dt=0.0076518633526846454, x_l2=118.6726206952916, u_l2=16.1482743685029, b_l2=102.47516886723638
Iteration=901, Time=5.700699927956762, dt=0.014116359977050071, x_l2=103.97618505090476, u_l2=3.5910964547950295, b_l2=100.36273798795226
Iteration=1001, Time=7.63479464326694, dt=0.0125107102773706, x_l2=102.68779607652125, u_l2=2.2645625935852056, b_l2=100.4170325718849
Iteration=1101, Time=9.34752519649886, dt=0.020948040480862268, x_l2=106.79870019492125, u_l2=7.253875905565228, b_l2=99.5163977357805
Iteration=1201, Time=11.325323159330647, dt=0.012099412182953498, x_l2=106.62205672710681, u_l2=5.8986393046441465, b_l2=100.70357607156325
Iteration=1301, Time=12.856277318468504, dt=0.028061230329212202, x_l2=103.09206470022693, u_l2=4.052857029207875, b_l2=99.02973437376632
Iteration=1401, Time=14.691126659396073, dt=0.015693968098749823, x_l2=103.06496959446591, u_l2=3.7301366859421194, b_l2=99.31698033647234
Iteration=1501, Time=16.701668368910923, dt=0.02148984881765793, x_l2=110.69985716032535, u_l2=12.073698325915103, b_l2=98.59025800664847
Iteration=1601, Time=18.326054154109784, dt=0.02561105692577967, x_l2=102.11644869805097, u_l2=3.5524156535224813, b_l2=98.55733253737613
Iteration=1701, Time=20.330230902209728, dt=0.012535629209761416, x_l2=101.7360566235906, u_l2=2.532946764293673, b_l2=99.18556874696662
Iteration=1801, Time=22.102310977067077, dt=0.017382405609694316, x_l2=104.34931404263706, u_l2=5.869470382035741, b_l2=98.45154700754276
Iteration=1901, Time=24.146119998019493, dt=0.02095683442904168, x_l2=110.55162358331845, u_l2=12.659957037647386, b_l2=97.85370628821514
Iteration=2001, Time=25.746954350209144, dt=0.01906660129180355, x_l2=99.48673051363448, u_l2=1.4355208351413222, b_l2=98.04509893339085
Iteration=2101, Time=27.708473383451924, dt=0.02368735875006117, x_l2=100.862631066809, u_l2=3.155164912530864, b_l2=97.69677624266436
Iteration=2201, Time=29.75331027434781, dt=0.01369101085601734, x_l2=98.58319366059851, u_l2=0.4745459134048909, b_l2=98.11598619431983
Iteration=2301, Time=31.5455056810561, dt=0.016718898137592527, x_l2=99.7872974747538, u_l2=2.145073845835563, b_l2=97.62754350301292
Iteration=2401, Time=33.502348126519486, dt=0.012412126363279088, x_l2=100.08062435344046, u_l2=2.098065698681471, b_l2=97.96340283953283
Iteration=2501, Time=35.410267899140216, dt=0.01888612190409168, x_l2=107.29513138149629, u_l2=10.160530685328247, b_l2=97.08922603057259
Iteration=2601, Time=37.26918859499258, dt=0.014619354855057567, x_l2=101.11789845422209, u_l2=3.8117244529298966, b_l2=97.28343267667161
Iteration=2701, Time=39.11089504815053, dt=0.017713723903933973, x_l2=97.39682239418059, u_l2=0.5349230655585536, b_l2=96.85799863993054
Iteration=2801, Time=40.87870192408588, dt=0.018268706698036777, x_l2=103.70269126037938, u_l2=7.248322812714321, b_l2=96.43658045305101
Iteration=2901, Time=42.969496104101104, dt=0.020309772081963728, x_l2=108.90429227466562, u_l2=12.678635271608606, b_l2=96.17525476185055
Iteration=3001, Time=44.6023150920199, dt=0.018918772182472236, x_l2=97.03578828175952, u_l2=0.7811580096652109, b_l2=96.25833256389267
Iteration=3101, Time=46.557680884946755, dt=0.01706365404591338, x_l2=98.31121283271416, u_l2=2.1119559452784564, b_l2=96.18261444681131
Iteration=3201, Time=48.52258709365693, dt=0.01172387382951723, x_l2=100.59702799443316, u_l2=3.9806227012307573, b_l2=96.59078973256233
Iteration=3301, Time=50.496728358673984, dt=0.011614511532293863, x_l2=105.0237092599856, u_l2=8.511256582114187, b_l2=96.47606519283612
Iteration=3401, Time=52.15978056416028, dt=0.029841958920484322, x_l2=99.97886123722246, u_l2=4.744091428520404, b_l2=95.20595394504976
Iteration=3501, Time=54.07799925744549, dt=0.018313319376155608, x_l2=96.61766920031913, u_l2=1.1885185522447352, b_l2=95.41704757380116
Iteration=3601, Time=55.88960766246658, dt=0.019000920609654526, x_l2=101.61715604075104, u_l2=6.399945451398303, b_l2=95.19623562238196
Iteration=3701, Time=57.852201953151486, dt=0.029843187080711535, x_l2=99.37923978197472, u_l2=4.674287946666255, b_l2=94.6765716699327
Iteration=3801, Time=59.85239113956106, dt=0.027183502815463743, x_l2=101.22614970886252, u_l2=6.597033822487892, b_l2=94.59302130052762
Iteration=3901, Time=61.7224153777918, dt=0.03488575117685712, x_l2=99.79574024170073, u_l2=5.480506913379579, b_l2=94.3019620739429
Iteration=4001, Time=63.46526359704385, dt=0.023339494292037608, x_l2=101.15858093757257, u_l2=6.805570354371605, b_l2=94.31829078100465
Iteration=4101, Time=65.44471944058202, dt=0.01757740484021363, x_l2=103.146120153548, u_l2=9.144514904586186, b_l2=93.97300029653144
Iteration=4201, Time=67.27325807463131, dt=0.0212027795195725, x_l2=96.42058379930216, u_l2=2.323708594804814, b_l2=94.08856232423014
Iteration=4301, Time=69.23354473286338, dt=0.017943116407066622, x_l2=98.6970662266119, u_l2=4.607926871391821, b_l2=94.03696716726148
Iteration=4401, Time=71.135777876909, dt=0.017034991001196795, x_l2=96.19363334448373, u_l2=2.242746516200516, b_l2=93.94094886717349
Iteration=4501, Time=73.14246893843858, dt=0.013205650858282215, x_l2=99.08875797837763, u_l2=4.859624358727529, b_l2=94.19871039983774
Iteration=4601, Time=75.03229774575303, dt=0.018248912831548527, x_l2=97.23799282377364, u_l2=3.7586839188223355, b_l2=93.48165787877471
Iteration=4701, Time=77.14357658601855, dt=0.020086942756227494, x_l2=98.81616292387595, u_l2=5.543827248150107, b_l2=93.20757687493432
Iteration=4801, Time=79.13148917092983, dt=0.019019158305157314, x_l2=95.01949461548483, u_l2=1.9589634426135347, b_l2=93.08542462408187
Iteration=4901, Time=81.07172995582232, dt=0.026697352820578578, x_l2=96.7355462354299, u_l2=4.029535610445916, b_l2=92.67075565864089
